group ,z_m,temp_c,ph,cond,sal,do_percent,do_mgL,chla_ugL
Group_2022data,0,21.12,7.86,0.074,,94.4,6.95,
Group_2022data,2,21.13,7.86,0.074,,93.4,6.94,
Group_2022data,4,21.12,7.85,0.074,,94.3,6.94,
Group_2022data,6,21.11,7.84,0.074,,94.3,6.94,
Group_2022data,8,21.09,7.84,0.075,,93.8,6.91,
Group_2022data,10,20.9,7.83,0.074,,94.1,6.96,
Group_2022data,12,19.69,7.76,0.071,,82.3,6.23,
Group_2022data,14,17.92,7.61,0.07,,65.4,5.14,
Group_2022data,16,15.4,7.3,0.069,,28.3,2.34,
Group_2022data,18,12.73,7.07,0.07,,33,2.91,
Group_2022data,20,10.22,6.99,0.071,,41,3.82,
Group_2022data,22,9.39,6.98,0.072,,44.5,4.23,
Group_2022data,24,9.08,6.97,0.073,,43.1,4.12,
Group_2022data,26,8.77,9.95,0.073,,44,4.25,
Group_2022data,28,8.59,6.94,0.073,,41,3.97,
Group_2022data,30,8.46,6.92,0.073,,39.7,3.86,
